Fecha,Fecha 2,23 Construcción ,236 Edificación ,237 Construcción de obras de ingeniería civil,238 Trabajos especializados para la construcción ,Fabricación de cemento y productos a base de cemento en plantas integrada (TONELADA),Vivienda (RUV),331 Industrias metálicas básicas ,332 Fabricación de productos metálicos ,333 Fabricación de maquinaria y equipo ,"334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos ","335 Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",336 Fabricación de equipo de transporte ,"337 Fabricación de muebles, colchones y persianas",339 Otras industrias manufactureras 
2013 Ene,ene-13,100.7,101.7,97.6,98.3,"2,949,365","15,219",99.04343618,101.9015657,104.870613,93.38358775,102.9820924,97.39686869,99.23192526,100.7705376
2013 Feb,feb-13,102.5,105.0,97.7,96.1,"2,934,381","21,597",99.59711354,101.9142307,102.2622518,96.44737071,103.4425919,99.30058437,98.69833578,101.3631163
2013 Mar,mar-13,100.8,101.5,97.1,99.1,"3,165,628","24,320",102.136843,101.2570111,99.83803716,96.72121798,101.7207658,99.61535888,97.3955443,98.57677789
2013 Abr,abr-13,98.6,98.6,100.6,97.8,"3,103,526","24,045",102.1849366,99.15550662,101.6753211,98.21293247,100.1969356,97.49937714,95.78090267,98.08254913
2013 May,may-13,102.9,103.6,100.1,97.9,"3,224,599","20,236",96.15677091,100.4437178,99.58397485,101.738937,100.1741352,97.62319622,101.5662877,100.9484622
2013 Jun,jun-13,98.2,97.7,99.2,99.5,"3,133,269","19,675",94.69028226,100.9868777,96.75465873,100.4388659,99.27141526,100.7643416,100.1399354,103.1249952
2013 Jul,jul-13,98.0,97.2,103.1,99.8,"3,107,234","19,767",101.1695665,98.5226355,99.20075217,101.7022187,100.731466,101.6613089,97.70454455,98.20284493
2013 Ago,ago-13,99.6,99.2,98.6,101.6,"3,027,876","20,342",101.5233301,103.1567984,100.6986386,102.2507373,98.99311066,102.2475184,94.52627219,97.74122293
2013 Sep,sep-13,98.6,98.2,97.9,100.5,"2,705,493","16,794",101.366719,96.84793776,100.871865,102.2085396,97.39292357,102.5812544,99.17340802,98.14944451
2013 Oct,oct-13,99.2,98.6,99.5,101.8,"3,055,030","20,334",102.6623451,98.60340539,101.4158103,104.8753992,97.39576808,101.9657996,104.4100656,101.0437711
2013 Nov,nov-13,99.9,98.1,103.3,104.9,"3,052,277","22,596",101.5515575,99.08175911,95.68398414,101.8302998,100.4945504,102.4913922,101.9737658,102.2530222
2013 Dic,dic-13,101.2,100.3,103.9,104.7,"3,056,416","23,808",98.36825144,101.4223616,96.35585072,101.3251893,98.34107493,95.79370929,104.7771777,99.6761322
2014 Ene,ene-14,98.8,96.8,97.3,108.6,"2,936,983","13,025",109.5482338,102.66703,94.70804628,106.0821563,101.3550942,104.3112996,97.03747098,95.45250424
2014 Feb,feb-14,102.7,103.5,97.2,109.1,"2,886,227","17,837",107.9198772,103.8052532,97.80016198,104.2976834,108.2355215,104.5345894,96.05443909,104.1366544
2014 Mar,mar-14,102.8,105.3,92.1,103.4,"3,354,627","19,497",111.0172444,102.0787963,98.14177411,107.4619141,103.6247232,106.4339555,95.59202054,103.1041184
2014 Abr,abr-14,103.8,105.2,102.3,104.3,"3,072,432","19,159",107.3780895,105.801091,98.18273562,111.0261435,103.5775273,111.5549001,93.45420397,104.0931686
2014 May,may-14,103.6,104.2,96.6,108.7,"3,383,902","22,708",109.7969714,104.3895236,96.9420484,114.8849346,104.2139028,113.0782731,91.39800732,101.1574556
2014 Jun,jun-14,104.3,107.3,94.4,109.0,"3,151,448","23,835",108.5838206,104.7154404,101.6926818,114.0084011,104.7774751,111.9578597,91.55037956,102.0234573
2014 Jul,jul-14,99.0,100.2,95.2,107.3,"3,224,425","24,929",106.8940788,107.5085471,102.4075174,118.6873693,107.5017883,110.4748662,90.9013333,104.0532069
2014 Ago,ago-14,101.7,101.2,99.0,107.8,"3,276,078","24,556",103.1841829,107.2577812,100.217221,114.2653842,105.7551747,110.8734429,92.01827335,103.7299624
2014 Sep,sep-14,101.9,100.7,100.1,113.1,"3,020,624","27,942",107.668978,110.2741967,102.6188278,120.4569682,106.405052,110.089039,95.73728875,106.2577696
2014 Oct,oct-14,105.1,106.6,98.3,109.7,"3,313,387","32,693",109.7085454,107.316367,99.90592471,125.3599951,107.935864,114.8246649,92.27391326,105.7509817
2014 Nov,nov-14,104.3,103.6,104.9,110.1,"3,298,662","31,267",107.6219971,109.5687206,102.2029328,124.8287091,105.2667844,114.4606225,96.82673939,104.2684555
2014 Dic,dic-14,104.1,104.4,99.8,113.3,"3,466,171","27,893",113.6325682,109.2181515,99.28736517,122.5996013,108.1078328,110.6144213,128.1845802,101.4946749
2015 Ene,ene-15,103.1,102.3,100.2,109.8,"3,083,214","18,497",102.7330241,110.6307854,99.0254429,128.7058382,106.9267197,113.5398686,102.0524178,99.48520804
2015 Feb,feb-15,100.6,100.6,97.9,107.0,"3,178,154","24,190",101.7591975,109.7986698,98.33354467,128.9210254,110.0974894,116.7800619,103.5862155,101.8880053
2015 Mar,mar-15,102.2,102.4,93.1,116.9,"3,705,576","28,972",98.70934105,113.9249332,101.249123,117.7505556,108.9647937,116.9527308,107.7236343,102.5669553
2015 Abr,abr-15,107.0,110.8,95.8,112.8,"3,487,324","27,141",102.9275614,112.3737456,98.43363333,120.6469586,113.2803799,121.6764379,107.9278437,105.677869
