"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,909.05",sep-20,"15,369.62","14,365.65"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,330.16",sep-20,"13,034.82","11,719.48"
ALAMBRON TREFILADO,ALAMBRON,"5,796.13",sep-20,"12,597.42","11,715.88"
ALAMBRONES ESPECIALES,ALAMBRON,"1,517.15",sep-20,"13,620.50","13,224.07"
ARMADURA,NEGROS ANTAAC,286.09,sep-20,"20,288.40","19,206.08"
CASTILLO DOB.,NEGROS ANTAAC,348.77,sep-20,"18,261.24","16,536.72"
CASTILLO HOJAS,NEGROS ANTAAC,"5,698.02",sep-20,"16,487.92","15,571.79"
CLAVO 2-5,NEGROS ANTAAC,"1,591.81",sep-20,"16,495.72","15,156.33"
ESCALERILLA,NEGROS ANTAAC,24.04,sep-20,"24,689.40","23,154.26"
ESTRIBOS,NEGROS ANTAAC,"1,072.28",sep-20,"13,942.56","13,114.94"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,686.31,sep-20,"16,708.04","15,785.53"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,814.41",sep-20,"17,962.85","16,699.84"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,1.89,sep-20,"18,359.99","16,309.99"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,133.69,sep-20,"15,944.14","15,101.87"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,493.41",sep-19,"13,456.72","12,635.43"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,562.56",sep-19,"11,491.49","10,179.43"
ALAMBRON TREFILADO,ALAMBRON,"6,104.81",sep-19,"11,717.60","10,932.08"
ALAMBRONES ESPECIALES,ALAMBRON,"1,077.07",sep-19,"13,118.52","12,275.17"
ARMADURA,NEGROS ANTAAC,445.36,sep-19,"15,766.92","14,849.13"
CASTILLO DOB.,NEGROS ANTAAC,573.04,sep-19,"13,910.48","12,504.81"
CASTILLO HOJAS,NEGROS ANTAAC,"4,051.46",sep-19,"12,187.17","11,491.17"
CLAVO 2-5,NEGROS ANTAAC,"1,470.83",sep-19,"14,626.80","13,381.27"
ESCALERILLA,NEGROS ANTAAC,14.71,sep-19,"24,675.78","23,071.95"
ESTRIBOS,NEGROS ANTAAC,720.99,sep-19,"13,106.02","11,938.34"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,879.06,sep-19,"12,746.38","11,797.83"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,293.23",sep-19,"13,163.93","12,265.00"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,14,sep-19,"14,288.08","13,278.51"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,304.84,sep-19,"14,034.09","13,399.92"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,128.23",sep-18,"16,854.07","16,091.95"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,908.15",sep-18,"14,778.16","13,696.34"
ALAMBRON TREFILADO,ALAMBRON,"9,617.64",sep-18,"14,557.40","13,906.15"
ALAMBRONES ESPECIALES,ALAMBRON,"1,610.16",sep-18,"15,998.13","15,719.71"
